County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
Female,"73,484","4,054","37,833","17,932","4,720","2,010",30,,"6,687",95,123
SEME,"101,033","6,920","58,179","19,439","3,746","1,648",53,,"10,834",139,75
Male,"48,927","3,339","27,242","9,688","1,960","1,092",24,,"5,471",72,39
Female,"52,105","3,581","30,937","9,751","1,786",555,29,,"5,363",67,36
MUHORONI,"127,218","7,931","71,306","25,605","5,412","2,226",54,,"14,277",222,185
Male,"64,017","3,921","34,618","13,441","3,036","1,472",33,,"7,278",123,95
Female,"63,200","4,010","36,687","12,164","2,376",754,21,,"6,999",99,90
NYANDO,"135,494","8,996","73,113","28,896","6,619","2,981",58,,"14,487",195,149
Male,"65,799","4,338","34,334","14,215","3,332","1,908",33,,"7,455",105,79
Female,"69,691","4,658","38,776","14,680","3,287","1,073",25,,"7,032",90,70
NYAKACH,"127,531","8,532","67,708","28,036","6,177","2,875",49,,"13,799",213,142
Male,"61,751","4,174","31,380","13,922","3,241","1,874",29,,"6,929",118,84
Female,"65,779","4,358","36,327","14,114","2,936","1,001",20,,"6,870",95,58
HOMA BAY,"936,435","50,944","514,752","185,148","41,900","19,314",405,1,"121,496","1,426","1,049"
Male,"453,351","24,480","236,358","94,148","22,303","12,924",186,,"61,694",717,541
Female,"483,068","26,461","278,388","90,995","19,596","6,390",219,1,"59,801",709,508
HOMA BAY,"98,476","4,317","48,641","23,180","6,709","3,748",44,1,"11,467",245,124
Male,"47,031","2,083","21,942","11,355","3,261","2,347",18,,"5,835",123,67
Female,"51,444","2,234","26,699","11,825","3,447","1,401",26,1,"5,632",122,57
NDHIWA,"176,801","9,523","104,345","28,581","5,374","2,133",53,,"26,499",195,98
Male,"85,665","4,612","47,900","15,050","3,029","1,519",19,,"13,384",98,54
Female,"91,131","4,909","56,444","13,530","2,345",614,34,,"13,114",97,44
RACHUONYO NORTH,"150,440","8,540","82,001","31,222","7,207","3,062",62,,"17,940",259,147
Male,"73,047","4,077","37,693","15,878","3,963","2,108",37,,"9,113",111,67
Female,"77,390","4,463","44,307","15,342","3,244",954,25,,"8,827",148,80
RACHUONYO EAST,"102,181","4,457","57,700","20,803","4,433","2,072",44,,"12,369",174,129
Male,"49,324","2,218","26,733","10,161","2,347","1,390",26,,"6,271",101,77
Female,"52,855","2,239","30,967","10,640","2,086",682,18,,"6,098",73,52
RACHUONYO SOUTH,"110,893","6,609","57,805","24,186","5,810","3,076",49,,"13,126",146,86
Male,"52,889","3,152","26,453","11,650","2,870","1,952",19,,"6,659",84,50
Female,"58,004","3,457","31,352","12,536","2,940","1,124",30,,"6,467",62,36
RANGWE,"95,975","6,680","53,169","17,023","3,947","1,688",43,,"13,083",150,192
Male,"46,029","3,221","24,181","8,396","2,085","1,159",18,,"6,806",74,89
Female,"49,944","3,458","28,987","8,627","1,862",529,25,,"6,277",76,103
SUBA NORTH,"103,926","5,561","55,663","21,887","5,124","2,195",41,,"13,200",146,109
Male,"51,090","2,632","25,684","11,697","2,793","1,502",17,,"6,627",75,63
Female,"52,835","2,929","29,978","10,190","2,331",693,24,,"6,573",71,46
SUBA SOUTH,"97,743","5,257","55,428","18,266","3,296","1,340",69,,"13,812",111,164
Male,"48,276","2,485","25,772","9,961","1,955",947,32,,"6,999",51,74
Female,"49,465","2,772","29,654","8,305","1,341",393,37,,"6,813",60,90
MIGORI,"891,943","58,435","497,955","162,968","34,705","17,285",507,2,"117,649","1,384","1,053"
Male,"435,319","28,525","231,286","84,718","18,413","11,405",263,2,"59,414",740,553
Female,"456,604","29,909","266,658","78,248","16,291","5,880",243,,"58,231",644,500
AWENDO,"99,605","6,043","54,696","19,660","4,385","2,145",38,,"12,391",152,95
Male,"48,515","2,930","25,158","10,124","2,410","1,425",20,,"6,320",83,45
Female,"51,088","3,112","29,537","9,536","1,975",720,18,,"6,071",69,50
KURIA EAST,"68,210","4,716","41,028","10,658","1,896",951,44,1,"8,744",80,92
Male,"34,174","2,379","19,559","5,884","1,062",677,23,1,"4,500",41,48
Female,"34,033","2,337","21,468","4,773",834,274,21,,"4,243",39,44
KURIA WEST,"156,851","12,391","87,708","27,834","5,646","2,698",179,,"20,019",241,135
Male,"77,778","6,124","41,769","14,901","2,903","1,765",95,,"10,039",117,65
Female,"79,070","6,267","45,938","12,933","2,743",933,83,,"9,979",124,70
NYATIKE,"141,989","8,132","83,054","23,504","4,230","1,811",44,,"20,756",248,210
Male,"68,816","3,908","37,907","12,566","2,385","1,314",25,,"10,464",137,110
Female,"73,167","4,224","45,142","10,938","1,844",497,19,,"10,292",111,100
RONGO,"104,064","6,777","53,132","22,074","5,606","3,523",54,,"12,559",217,122
Male,"50,212","3,300","24,427","10,912","2,815","2,202",20,,"6,359",110,67
Female,"53,851","3,477","28,704","11,162","2,791","1,321",34,,"6,200",107,55
SUNA EAST,"102,060","5,415","55,779","20,405","4,994","2,456",38,,"12,711",133,129
Male,"49,404","2,629","25,768","10,277","2,578","1,560",20,,"6,420",83,69
Female,"52,653","2,786","30,011","10,127","2,416",896,18,,"6,289",50,60
SUNA WEST,"100,908","7,199","53,845","18,882","4,134","2,117",56,1,"14,407",153,114
Male,"48,762","3,481","24,785","9,616","2,093","1,390",32,1,"7,217",83,64
Female,"52,145","3,718","29,059","9,266","2,041",727,24,,"7,190",70,50
URIRI,"118,256","7,762","68,713","19,951","3,814","1,584",54,,"16,062",160,156
Male,"57,658","3,774","31,913","10,438","2,167","1,072",28,,"8,095",86,85
Female,"60,597","3,988","36,799","9,513","1,647",512,26,,"7,967",74,71
KISII,"1,056,594","66,917","503,356","289,486","56,356","29,854",618,9,"107,626","1,502",870
Male,"514,242","32,984","240,848","137,417","28,022","18,840",307,4,"54,543",837,440
Female,"542,327","33,931","262,496","152,059","28,333","11,014",311,5,"53,083",665,430
ETAGO,"68,186","5,286","35,378","15,890","2,022","1,000",52,2,"8,454",71,31
Male,"33,403","2,588","16,736","7,951","1,115",698,24,1,"4,237",34,19
Female,"34,781","2,698","18,641","7,938",907,302,28,1,"4,217",37,12
GUCHA,"69,387","3,890","34,585","18,112","3,505","1,927",18,,"7,189",91,70
Male,"33,352","1,886","16,415","8,383","1,687","1,222",12,,"3,666",45,36
Female,"36,035","2,004","18,170","9,729","1,818",705,6,,"3,523",46,34
GUCHA SOUTH,"68,510","5,121","34,469","16,118","3,333","1,541",43,,"7,709",89,87
Male,"33,518","2,499","16,558","7,784","1,643",994,20,,"3,926",49,45
Female,"34,989","2,621","17,910","8,333","1,690",547,23,,"3,783",40,42
KENYENYA,"109,605","7,599","52,756","30,630","4,304","2,229",127,,"11,744",125,91
Male,"53,315","3,697","25,081","14,690","2,201","1,520",60,,"5,954",67,45
Female,"56,289","3,902","27,674","15,940","2,103",709,67,,"5,790",58,46
KISII CENTRAL,"141,052","7,110","58,386","43,930","12,024","7,109",40,,"12,159",223,71
Male,"69,181","3,512","28,286","20,926","5,765","4,315",21,,"6,195",119,42
Female,"71,869","3,598","30,099","23,004","6,258","2,794",19,,"5,964",104,29
KISII SOUTH,"110,437","7,868","57,573","24,616","5,347","2,963",103,,"11,742",126,99
Male,"53,984","3,892","27,842","11,910","2,503","1,736",57,,"5,920",76,48
Female,"56,448","3,976","29,727","12,705","2,844","1,227",46,,"5,822",50,51
KITUTU CENTRAL,"131,437","8,114","58,247","35,314","10,497","6,249",44,6,"12,562",258,146
Male,"64,408","4,090","28,327","16,768","4,875","3,687",23,2,"6,409",152,75
Female,"67,024","4,024","29,919","18,542","5,622","2,562",21,4,"6,153",106,71
MARANI,"88,583","5,223","47,942","22,193","3,160","1,271",21,,"8,623",81,69
Male,"42,683","2,607","22,647","10,397","1,721",880,12,,"4,335",47,37
Female,"45,899","2,616","25,294","11,796","1,439",391,9,,"4,288",34,32
MASABA SOUTH,"104,534","5,876","46,658","34,295","5,027","2,273",68,,"10,114",141,82
Male,"50,501","2,952","22,153","15,926","2,671","1,536",33,,"5,109",79,42
Female,"54,030","2,924","24,503","18,368","2,356",737,35,,"5,005",62,40
NYAMACHE,"108,990","7,284","50,075","32,762","4,525","2,136",79,1,"11,803",245,80
Male,"52,911","3,548","23,917","15,307","2,464","1,490",35,1,"5,977",140,32
Female,"56,078","3,736","26,158","17,454","2,061",646,44,,"5,826",105,48
SAMETA,"55,873","3,546","27,287","15,626","2,612","1,156",23,,"5,527",52,44
Male,"26,986","1,713","12,886","7,375","1,377",762,10,,"2,815",29,19
Female,"28,885","1,832","14,401","8,250","1,235",394,13,,"2,712",23,25
NYAMIRA,"501,830","24,420","237,025","151,352","27,139","12,775",317,1,"47,286",892,623
Male,"245,254","12,209","114,918","70,874","13,861","8,234",140,1,"24,200",512,305
Female,"256,564","12,209","122,103","80,475","13,277","4,541",177,,"23,084",380,318
BORABU,"61,736","2,502","26,340","20,381","4,654","2,410",15,1,"5,266",91,76
Male,"31,315","1,312","13,160","10,081","2,387","1,526",5,1,"2,746",54,43
Female,"30,421","1,190","13,180","10,300","2,267",884,10,,"2,520",37,33
MANGA,"77,226","4,749","34,421","24,150","4,456","1,874",58,,"7,252",146,120
Male,"37,534","2,312","16,683","11,246","2,246","1,215",25,,"3,673",76,58
Female,"39,690","2,437","17,737","12,904","2,210",659,33,,"3,578",70,62
MASABA NORTH,"92,363","4,393","41,873","30,177","4,939","2,378",87,,"8,357",96,63
Male,"44,538","2,154","20,166","13,885","2,483","1,538",36,,"4,195",47,34
Female,"47,823","2,239","21,707","16,291","2,456",840,51,,"4,161",49,29
NYAMIRA NORTH,"137,819","6,739","70,523","37,229","6,206","2,622",121,,"13,841",298,240
Male,"67,363","3,382","34,216","17,262","3,276","1,746",55,,"7,133",183,110
Female,"70,451","3,356","36,305","19,966","2,929",876,66,,"6,708",115,130
NYAMIRA SOUTH,"132,686","6,037","63,868","39,415","6,884","3,491",36,,"12,570",261,124
Male,"64,504","3,049","30,693","18,400","3,469","2,209",19,,"6,453",152,60
Female,"68,179","2,987","33,174","21,014","3,415","1,282",17,,"6,117",109,64
NAIROBI CITY,"3,787,354","114,688","1,259,466","1,284,981","499,951","334,485",733,186,"270,376","14,414","8,074"
Male,"1,884,245","56,537","597,904","655,589","239,380","186,181",332,97,"135,944","7,865","4,416"
Female,"1,902,938","58,142","661,505","629,329","260,559","148,288",401,89,"134,423","6,547","3,655"
DAGORETTI,"380,451","11,642","139,492","132,202","46,894","20,327",76,3,"28,066","1,083",666
Male,"190,921","5,739","66,946","68,689","22,838","11,565",38,3,"14,074",656,373
Female,"189,505","5,903","72,538","63,504","24,053","8,759",38,,"13,990",427,293
EMBAKASI,"865,056","24,201","258,061","304,600","136,513","73,179",146,13,"63,716","2,725","1,902"
Male,"431,278","11,971","120,523","154,993","66,416","42,615",73,10,"32,073","1,528","1,076"
Female,"433,744","12,227","137,528","149,594","70,095","30,561",73,3,"31,642","1,196",825
KAMUKUNJI,"197,971","8,186","77,113","64,457","19,435","9,507",82,139,"15,761","2,768",523
Male,"103,126","4,060","38,119","35,646","9,789","5,861",35,71,"7,870","1,368",307
Female,"94,839","4,126","38,993","28,807","9,645","3,646",47,68,"7,891","1,400",216
KASARANI,"679,812","20,778","218,299","225,859","98,786","63,562",81,2,"49,291","1,924","1,230"
Male,"329,885","10,138","101,600","109,873","45,051","36,493",37,,"24,886","1,121",686
Female,"349,899","10,637","116,686","115,979","53,734","27,066",44,2,"24,404",803,544
KIBRA,"161,207","4,947","64,713","52,591","14,989","11,285",63,1,"11,849",383,386
Male,"81,878","2,448","31,514","28,276","7,337","5,917",22,1,"5,939",214,210
Female,"79,322","2,499","33,195","24,313","7,651","5,368",41,,"5,910",169,176
LANG'ATA,"170,602","4,842","49,203","48,809","20,346","36,026",45,7,"10,036",825,463
Male,"83,232","2,484","23,359","24,704","8,875","18,084",23,2,"5,079",412,210
Female,"87,363","2,358","25,841","24,105","11,471","17,941",22,5,"4,956",412,252
MAKADARA,"169,335","3,983","52,670","64,391","25,588","11,363",30,3,"10,619",367,321
Male,"85,882","1,978","25,361","33,632","12,668","6,457",15,2,"5,373",221,175
Female,"83,446","2,005","27,305","30,758","12,918","4,906",15,1,"5,246",146,146
MATHARE,"174,560","6,038","78,155","58,891","13,715","3,493",17,1,"13,152",626,472
Male,"90,081","3,052","38,365","31,853","7,373","2,340",9,,"6,465",374,250
Female,"84,467","2,985","39,785","27,032","6,342","1,153",8,1,"6,687",252,222
NJIRU,"549,682","17,047","195,084","196,238","69,797","26,721",57,1,"42,470","1,393",874
Male,"268,531","8,338","92,228","96,262","33,194","15,745",30,1,"21,419",798,516
Female,"281,127","8,708","102,850","99,963","36,603","10,976",27,,"21,048",595,357
STAREHE,"167,374","4,961","50,141","55,722","22,461","22,068",79,10,"10,067","1,305",560
Male,"84,432","2,380","23,629","29,418","10,984","12,023",29,4,"5,019",638,308
Female,"82,934","2,580","26,511","26,301","11,477","10,042",50,6,"5,048",667,252
WESTLANDS,"271,304","8,063","76,535","81,221","31,427","56,954",57,6,"15,349","1,015",677
Male,"134,999","3,949","36,260","42,243","14,855","29,081",21,3,"7,747",535,305
Female,"136,292","4,114","40,273","38,973","16,570","27,870",36,3,"7,601",480,372
