County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
IKUTHA,"66,934","4,788","42,441","9,522","2,534",629,56,,"6,273",477,214
Male,"33,266","2,470","20,637","4,774","1,308",409,28,,"3,287",241,112
Female,"33,668","2,318","21,804","4,748","1,226",220,28,,"2,986",236,102
KATULANI,"38,698","1,826","22,085","8,742","2,382",778,11,,"2,610",204,60
Male,"19,602",967,"10,844","4,583","1,220",459,4,,"1,369",121,35
Female,"19,095",859,"11,241","4,159","1,162",319,7,,"1,240",83,25
KISASI,"37,580","2,582","23,265","6,312","1,496",516,15,,"3,189",118,87
Male,"19,003","1,369","11,536","3,252",776,328,7,,"1,621",70,44
Female,"18,577","1,213","11,729","3,060",720,188,8,,"1,568",48,43
KITUI CENTRAL,"88,883","4,061","45,193","21,648","7,387","3,370",23,,"6,703",373,125
Male,"44,153","2,139","22,082","10,895","3,467","1,834",15,,"3,450",199,72
Female,"44,728","1,922","23,110","10,752","3,920","1,536",8,,"3,253",174,53
KITUI WEST,"59,783","2,642","34,391","12,378","3,870","1,365",6,,"4,653",426,52
Male,"29,252","1,394","16,701","5,990","1,807",785,2,,"2,346",199,28
Female,"30,530","1,248","17,689","6,388","2,063",580,4,,"2,307",227,24
KYUSO,"58,859","4,778","37,321","7,552","2,373",740,39,,"5,401",392,263
Male,"28,937","2,422","18,000","3,836","1,129",467,21,,"2,758",178,126
Female,"29,921","2,356","19,321","3,715","1,244",273,18,,"2,643",214,137
LOWER YATTA,"51,367","4,103","30,231","9,763","2,182",962,24,1,"3,738",241,122
Male,"26,288","2,177","15,210","5,027","1,160",569,13,,"1,940",127,65
Female,"25,079","1,926","15,021","4,736","1,022",393,11,1,"1,798",114,57
MATINYANI,"40,061","1,944","22,781","8,373","2,653",781,15,,"3,328",149,37
Male,"20,200",996,"11,370","4,221","1,363",421,8,,"1,721",75,25
Female,"19,860",948,"11,410","4,152","1,290",360,7,,"1,607",74,12
MIGWANI,"65,677","2,690","38,115","13,220","4,326","1,433",17,,"5,235",461,180
Male,"31,764","1,394","18,211","6,348","2,021",839,10,,"2,631",202,108
Female,"33,910","1,296","19,902","6,871","2,305",594,7,,"2,604",259,72
MUMONI,"23,414","2,988","13,587","3,208",858,326,35,,"2,274",92,46
Male,"11,198","1,469","6,260","1,621",440,192,24,,"1,127",39,26
Female,"12,216","1,519","7,327","1,587",418,134,11,,"1,147",53,20
MUTITU,"41,209","2,897","27,184","5,162","1,257",408,29,,"3,990",162,120
Male,"20,372","1,480","13,075","2,619",692,243,18,,"2,095",89,61
Female,"20,835","1,417","14,107","2,543",565,165,11,,"1,895",73,59
MUTITU NORTH,"17,006","1,303","10,757","2,605",684,208,10,,"1,333",82,24
Male,"8,557",714,"5,256","1,330",356,140,7,,697,41,16
