S_No,REGION,COUNTY,SUB_COUNTY,UIC,KNEC,SCHOOL_NAME,CLUSTER,TYPE,DISABILITY_TYPE,ACCOMMODATION_TYPE,GENDER
112,RIFT VALLEY,BARINGO,KOIBATEK,7A7N,33521126,ST. PATRICK'S MIXED DAY SECONDARY SCHOOL - ELDAMA,C4,PUBLIC,NONE,DAY,MIXED
113,RIFT VALLEY,BARINGO,KOIBATEK,WGF5,33521202,TIMBOROA SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
114,RIFT VALLEY,BARINGO,KOIBATEK,NDHG,33521204,TINET MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
115,RIFT VALLEY,BARINGO,KOIBATEK,CMWE,33521212,TIRIPKATOI MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
116,RIFT VALLEY,BARINGO,KOIBATEK,2ZAT,33521118,TOLMO SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
117,RIFT VALLEY,BARINGO,KOIBATEK,XXE8,33521109,TONIOK GIRLS SECONDARY SCHOOL,C2,PUBLIC,NONE,BOARDING,GIRLS
118,RIFT VALLEY,BARINGO,KOIBATEK,CKE5,33521201,TORONGO GIRLS' HIGH SCHOOL,C3,PUBLIC,NONE,BOARDING,GIRLS
119,RIFT VALLEY,BARINGO,KOIBATEK,NRGJ,33521207,TUGUMOI KOIBATEK SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
120,RIFT VALLEY,BARINGO,KOIBATEK,Q4R6,33521115,UHURU HIGH SCHOOL-KABIYET,C4,PUBLIC,NONE,BOARDING,MIXED
121,RIFT VALLEY,BARINGO,KOIBATEK,RDX7,33521123,UZALENDO SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
122,RIFT VALLEY,BARINGO,MARIGAT,52PG,33558116,CHEBORUSWO MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
123,RIFT VALLEY,BARINGO,MARIGAT,88KD,33558114,ELDUME MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
124,RIFT VALLEY,BARINGO,MARIGAT,4JDX,33558212,EMBOSSOS MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
125,RIFT VALLEY,BARINGO,MARIGAT,5WRK,33558213,KABEL MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
126,RIFT VALLEY,BARINGO,MARIGAT,YJ4G,33558209,KAMAILEL MIXED SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
127,RIFT VALLEY,BARINGO,MARIGAT,2UXX,33558210,KARNEE MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
128,RIFT VALLEY,BARINGO,MARIGAT,Y7CM,33558117,KIBINGOR SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
129,RIFT VALLEY,BARINGO,MARIGAT,98BZ,33558107,KIMALEL SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
130,RIFT VALLEY,BARINGO,MARIGAT,A4RP,33558207,KIMORIOT MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
131,RIFT VALLEY,BARINGO,MARIGAT,JSL3,33558103,KISERIAN SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
132,RIFT VALLEY,BARINGO,MARIGAT,XK3X,33558111,KORIEMA MIXED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
133,RIFT VALLEY,BARINGO,MARIGAT,5CH5,33558104,LAKE BOGORIA ROCHDALE SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
134,RIFT VALLEY,BARINGO,MARIGAT,EVDP,33558120,LOITIP SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
135,RIFT VALLEY,BARINGO,MARIGAT,W8MX,33558115,LOWLAND HIGH SCHOOL,C4,PUBLIC,NONE,BOARDING,MIXED
136,RIFT VALLEY,BARINGO,MARIGAT,4Q5F,33558110,MARIGAT INTEGRATED DAY SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
137,RIFT VALLEY,BARINGO,MARIGAT,EHQE,33558101,MARIGAT SECONDARY SCHOOL,C2,PUBLIC,NONE,DAY,MIXED
138,RIFT VALLEY,BARINGO,MARIGAT,YUMP,33558118,MEISORI SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
139,RIFT VALLEY,BARINGO,MARIGAT,T6UE,33558201,MOCHONGOI SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
140,RIFT VALLEY,BARINGO,MARIGAT,C5ZT,33558202,MWENGE SECONDARY SCHOOL,C4,PUBLIC,NONE,DAY,MIXED
141,RIFT VALLEY,BARINGO,MARIGAT,AJ9B,33558102,NGAMBO SECONDARY SCHOOL,C3,PUBLIC,NONE,DAY,MIXED
