Serial_No,School_Code,School_Name,Category,Type,Cluster
308,23574140,KABUYEFWE FRIENDS GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
309,23574143,KABUYEFWE FRIENDS SECONDARY SCHOOL,Extra County,Boys,C1
310,24504101,ST. CECILIA GIRLS SECONDARY SCHOOL-CHEPARERIA,Extra County,Girls,C1
311,24505102,NASOKOL GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
312,24505104,KAPENGURIA BOYS HIGH SCHOOL,Extra County,Boys,C1
313,25551207,MOI SIONGIROI GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
314,25563101,SASETA GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
315,25563102,KOIWA BOYS HIGH SCHOOL,Extra County,Boys,C1
316,25563301,KIMULOT SECONDARY SCHOOL,Extra County,Boys,C1
317,26509111,TURBO GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
318,26509112,KAMAGUT HIGH SCHOOL,Extra County,Mixed,C1
319,26509114,PAUL BOIT BOYS SECONDARY SCHOOL,Extra County,Boys,C1
320,26534118,DRYS GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
321,26534119,KAPNGETUNY HIGH SCHOOL,Extra County,Boys,C1
322,26534122,ARNESEN'S HIGH SCHOOL,Extra County,Boys,C1
323,26576117,"LORETO HIGH SCHOOL, MATUNDA",Extra County,Girls,C1
324,26577100,A.I.C. CHEBISAAS BOYS SECONDARY SCHOOL,Extra County,Boys,C1
325,26577117,SEKO GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
326,26578001,HILL SCHOOL - ELDORET,Extra County,Girls,C1
327,27536201,JOMO KENYATTA BOYS HIGH SCHOOL,Extra County,Boys,C1
328,27536202,ST. BAKHITA BAHATI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
329,27536241,JOMO KENYATTA GIRLS HIGH SCHOOL,Extra County,Girls,C1
330,27537301,NAIVASHA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
331,27537303,NAIVASHA HIGH SCHOOL,Extra County,Boys,C1
332,27538204,MARY MOUNT SECONDARY SCHOOL,Extra County,Girls,C1
334,27564101,NJORO BOYS HIGH SCHOOL,Extra County,Boys,C1
335,27564102,NJORO GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
336,27570201,KOELEL SECONDARY SCHOOL,Extra County,Boys,C1
337,28512101,KERICHO HIGH SCHOOL,Extra County,Boys,C1
338,28512112,MOI TEA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
339,28522501,TENGECHA BOYS HIGH SCHOOL,Extra County,Boys,C1
340,28522505,LITEIN HIGH SCHOOL,Extra County,Boys,C1
341,28522509,TENGECHA GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
342,28522520,A.I.C LITEIN GIRLS SECONDARY S CHOOL,Extra County,Girls,C1
343,28539105,KIPKELION GIRLS' HIGH,Extra County,Girls,C1
344,28553103,SOSIOT GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
345,28571201,LONDIANI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
346,28571202,LONDIANI GIRLS' SECONDARY SCHOOL,Extra County,Girls,C1
347,28571203,SACRED HILL GIRLS' HIGH SCHOOL - LONDIANI,Extra County,Girls,C1
348,29513101,KAPSABET GIRLS HIGH SCHOOL,Extra County,Girls,C1
349,29513308,OUR LADYOF VICTORY GIRLS KAPNYEB,Extra County,Girls,C1
350,29513310,TERIGE SECONDARY SCHOOL,Extra County,Boys,C1
351,29523101,KEMELOI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
352,29523302,ALDAI GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
353,29523307,AIC CHEBISAAS GIRLS SECONDARY SCHOOL,Extra County,Girls,C1
354,29540104,STEPHEN KOSITANY GIRLS' HIGH SCHOOL,Extra County,Girls,C1
355,29540201,KURGUNG SECONDARY SCHOOL,Extra County,Boys,C1
356,29540202,LABORET BOYS HIGH SCHOOL,Extra County,Boys,C1
357,29541201,SAMOEI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
358,29542101,METEITEI BOYS SECONDARY SCHOOL,Extra County,Boys,C1
359,29579701,LELMOKWO HIGH SCHOOL,Extra County,Boys,C1
